Survey_Date,Survey_Time,Study_Area,Transect_Number,Visit_Number,Sample_Number,Observer,Sample_ID,Location_Latitude,Location_Longitude,Snow_Conditions,Comments,Species,Notes,Censor
2/9/2024 17:00,11:12,14,10,2,1,TF,14-10-2-1-TF,148869.6436,511385.0101,0 - 25%,,Snowshoe Hare,,0
2/9/2024 17:00,13:34,14,10,2,2,TF,14-10-2-2-TF,147061.4761,511391.8666,0 - 25%,,Snowshoe Hare,,0
2/26/2024 17:00,11:02,14,10,3,1,CR,14-10-3-1-CR,146976.3961,511397.0822,0 - 25%,Cherry and beech tress young to mid stand,Snowshoe Hare,,1
2/26/2024 17:00,12:14,14,10,3,2,CR,14-10-3-2-CR,148737.0466,511397.2815,0 - 25%,Small beech with larger Cherry trees,Snowshoe Hare,,0
1/15/2024 17:00,12:28,14,1,1,1,CR,14-1-1-1-CR,148954.2296,509738.2428,75 - 100%,"Hemlock & beach stand, near wet area, lots of tracks going all over the place but only one pellet found",Snowshoe Hare,,0
2/9/2024 17:00,10:36,14,11,2,1,AZ,14-11-2-1-AZ,148687.9369,511565.319,0 - 25%,Mature stand with dense beech understory. Woody debris,Snowshoe Hare,,0
2/9/2024 17:00,10:39,14,11,2,2,AZ,14-11-2-2-AZ,148692.0387,511565.5888,0 - 25%,Same as 1,Snowshoe Hare,,0
2/27/2024 17:00,11:24,14,1,3,1,AZ,14-1-3-1-AZ,148945.8658,509735.2478,0 - 25%,In young hemlock,Snowshoe Hare,,0
2/27/2024 17:00,11:40,14,1,3,2,AZ,14-1-3-2-AZ,148526.0389,509755.1236,0 - 25%,Seedlings and hemlock,Snowshoe Hare,,0
2/27/2024 17:00,11:45,14,1,3,3,AZ,14-1-3-3-AZ,148452.2008,509752.7516,0 - 25%,Shrubs and hemlock in wet area,Snowshoe Hare,,0
1/15/2024 17:00,12:19,14,2,1,1,SM,14-2-1-1-SM,148940.5862,509917.5905,75 - 100%,Mature hemlock,Snowshoe Hare,,0
1/15/2024 17:00,12:36,14,2,1,2,SM,14-2-1-2-SM,148866.8326,509931.7937,75 - 100%,Mature hemlock,Snowshoe Hare,,0
