pointID,StudyAreaNumber,TransectNumber,ORIG_FID,Side,Latitude,Longitude
82239,14,12,1,A,148980.545099999755621,511747.887199997901917
82239,14,12,1,B,146980.545099999755621,511747.887199997901917
123981,33,12,2,A,164380.545099999755621,552147.887199997901917
123981,33,12,2,B,162380.545099999755621,552147.887199997901917
142869,39,12,3,A,173580.545099999755621,480747.887199997901917
142869,39,12,3,B,171580.545099999755621,480747.887199997901917
158119,44,12,4,A,180980.545099999755621,501747.887199997901917
158119,44,12,4,B,178980.545099999755621,501747.887199997901917
168488,46,12,5,A,188380.545099999755621,506147.887199997901917
168488,46,12,5,B,186380.545099999755621,506147.887199997901917
82239,14,11,6,A,148980.545099999755621,511566.068999998271465
82239,14,11,6,B,146980.545099999755621,511566.068999998271465
123981,33,11,7,A,164380.545099999755621,551966.068999998271465
123981,33,11,7,B,162380.545099999755621,551966.068999998271465
142869,39,11,8,A,173580.545099999755621,480566.068999998271465
142869,39,11,8,B,171580.545099999755621,480566.068999998271465
158119,44,11,9,A,180980.545099999755621,501566.068999998271465
158119,44,11,9,B,178980.545099999755621,501566.068999998271465
168488,46,11,10,A,188380.545099999755621,505966.068999998271465
168488,46,11,10,B,186380.545099999755621,505966.068999998271465
82239,14,10,11,A,148980.545099999755621,511384.250799998641014
82239,14,10,11,B,146980.545099999755621,511384.250799998641014
123981,33,10,12,A,164380.545099999755621,551784.250799998641014
123981,33,10,12,B,162380.545099999755621,551784.250799998641014
142869,39,10,13,A,173580.545099999755621,480384.250799998641014
142869,39,10,13,B,171580.545099999755621,480384.250799998641014
158119,44,10,14,A,180980.545099999755621,501384.250799998641014
158119,44,10,14,B,178980.545099999755621,501384.250799998641014
168488,46,10,15,A,188380.545099999755621,505784.250799998641014
168488,46,10,15,B,186380.545099999755621,505784.250799998641014
82239,14,9,16,A,148980.545099999755621,511202.432700000703335
82239,14,9,16,B,146980.545099999755621,511202.432700000703335
123981,33,9,17,A,164380.545099999755621,551602.432700000703335
123981,33,9,17,B,162380.545099999755621,551602.432700000703335
142869,39,9,18,A,173580.545099999755621,480202.432700000703335
142869,39,9,18,B,171580.545099999755621,480202.432700000703335
158119,44,9,19,A,180980.545099999755621,501202.432700000703335
158119,44,9,19,B,178980.545099999755621,501202.432700000703335
168488,46,9,20,A,188380.545099999755621,505602.432700000703335
168488,46,9,20,B,186380.545099999755621,505602.432700000703335
82239,14,8,21,A,148980.545099999755621,511020.614500001072884
82239,14,8,21,B,146980.545099999755621,511020.614500001072884
123981,33,8,22,A,164380.545099999755621,551420.614500001072884
123981,33,8,22,B,162380.545099999755621,551420.614500001072884
142869,39,8,23,A,173580.545099999755621,480020.614500001072884
142869,39,8,23,B,171580.545099999755621,480020.614500001072884
158119,44,8,24,A,180980.545099999755621,501020.614500001072884
158119,44,8,24,B,178980.545099999755621,501020.614500001072884
168488,46,8,25,A,188380.545099999755621,505420.614500001072884
168488,46,8,25,B,186380.545099999755621,505420.614500001072884
82239,14,7,26,A,148980.545099999755621,510838.796300001442432
82239,14,7,26,B,146980.545099999755621,510838.796300001442432
123981,33,7,27,A,164380.545099999755621,551238.796300001442432
123981,33,7,27,B,162380.545099999755621,551238.796300001442432
142869,39,7,28,A,173580.545099999755621,479838.796300001442432
142869,39,7,28,B,171580.545099999755621,479838.796300001442432
158119,44,7,29,A,180980.545099999755621,500838.796300001442432
158119,44,7,29,B,178980.545099999755621,500838.796300001442432
168488,46,7,30,A,188380.545099999755621,505238.796300001442432
168488,46,7,30,B,186380.545099999755621,505238.796300001442432
82239,14,6,31,A,148980.545099999755621,510656.978100001811981
82239,14,6,31,B,146980.545099999755621,510656.978100001811981
123981,33,6,32,A,164380.545099999755621,551056.978100001811981
123981,33,6,32,B,162380.545099999755621,551056.978100001811981
142869,39,6,33,A,173580.545099999755621,479656.978100001811981
142869,39,6,33,B,171580.545099999755621,479656.978100001811981
158119,44,6,34,A,180980.545099999755621,500656.978100001811981
158119,44,6,34,B,178980.545099999755621,500656.978100001811981
168488,46,6,35,A,188380.545099999755621,505056.978100001811981
168488,46,6,35,B,186380.545099999755621,505056.978100001811981
82239,14,5,36,A,148980.545099999755621,510475.159900002181530
82239,14,5,36,B,146980.545099999755621,510475.159900002181530
123981,33,5,37,A,164380.545099999755621,550875.159900002181530
123981,33,5,37,B,162380.545099999755621,550875.159900002181530
142869,39,5,38,A,173580.545099999755621,479475.159900002181530
142869,39,5,38,B,171580.545099999755621,479475.159900002181530
158119,44,5,39,A,180980.545099999755621,500475.159900002181530
158119,44,5,39,B,178980.545099999755621,500475.159900002181530
168488,46,5,40,A,188380.545099999755621,504875.159900002181530
168488,46,5,40,B,186380.545099999755621,504875.159900002181530
82239,14,4,41,A,148980.545099999755621,510293.341700002551079
82239,14,4,41,B,146980.545099999755621,510293.341700002551079
123981,33,4,42,A,164380.545099999755621,550693.341700002551079
123981,33,4,42,B,162380.545099999755621,550693.341700002551079
142869,39,4,43,A,173580.545099999755621,479293.341700002551079
142869,39,4,43,B,171580.545099999755621,479293.341700002551079
158119,44,4,44,A,180980.545099999755621,500293.341700002551079
158119,44,4,44,B,178980.545099999755621,500293.341700002551079
168488,46,4,45,A,188380.545099999755621,504693.341700002551079
168488,46,4,45,B,186380.545099999755621,504693.341700002551079
82239,14,3,46,A,148980.545099999755621,510111.523599997162819
82239,14,3,46,B,146980.545099999755621,510111.523599997162819
123981,33,3,47,A,164380.545099999755621,550511.523599997162819
123981,33,3,47,B,162380.545099999755621,550511.523599997162819
142869,39,3,48,A,173580.545099999755621,479111.523599997162819
142869,39,3,48,B,171580.545099999755621,479111.523599997162819
158119,44,3,49,A,180980.545099999755621,500111.523599997162819
158119,44,3,49,B,178980.545099999755621,500111.523599997162819
168488,46,3,50,A,188380.545099999755621,504511.523599997162819
168488,46,3,50,B,186380.545099999755621,504511.523599997162819
82239,14,2,51,A,148980.545099999755621,509929.705399997532368
82239,14,2,51,B,146980.545099999755621,509929.705399997532368
123981,33,2,52,A,164380.545099999755621,550329.705399997532368
123981,33,2,52,B,162380.545099999755621,550329.705399997532368
142869,39,2,53,A,173580.545099999755621,478929.705399997532368
142869,39,2,53,B,171580.545099999755621,478929.705399997532368
158119,44,2,54,A,180980.545099999755621,499929.705399997532368
158119,44,2,54,B,178980.545099999755621,499929.705399997532368
168488,46,2,55,A,188380.545099999755621,504329.705399997532368
168488,46,2,55,B,186380.545099999755621,504329.705399997532368
82239,14,1,56,A,148980.545099999755621,509747.887199997901917
82239,14,1,56,B,146980.545099999755621,509747.887199997901917
123981,33,1,57,A,164380.545099999755621,550147.887199997901917
123981,33,1,57,B,162380.545099999755621,550147.887199997901917
142869,39,1,58,A,173580.545099999755621,478747.887199997901917
142869,39,1,58,B,171580.545099999755621,478747.887199997901917
158119,44,1,59,A,180980.545099999755621,499747.887199997901917
158119,44,1,59,B,178980.545099999755621,499747.887199997901917
168488,46,1,60,A,188380.545099999755621,504147.887199997901917
168488,46,1,60,B,186380.545099999755621,504147.887199997901917
157826,50,1,61,A,180780.545099999755621,530147.887199997901917
157826,50,1,61,B,178780.545099999755621,530147.887199997901917
157826,50,2,62,A,180780.545099999755621,530329.705399997532368
157826,50,2,62,B,178780.545099999755621,530329.705399997532368
157826,50,3,63,A,180780.545099999755621,530511.523599997162819
157826,50,3,63,B,178780.545099999755621,530511.523599997162819
157826,50,4,64,A,180780.545099999755621,530693.341700002551079
157826,50,4,64,B,178780.545099999755621,530693.341700002551079
157826,50,5,65,A,180780.545099999755621,530875.159900002181530
157826,50,5,65,B,178780.545099999755621,530875.159900002181530
157826,50,6,66,A,180780.545099999755621,531056.978100001811981
157826,50,6,66,B,178780.545099999755621,531056.978100001811981
157826,50,7,67,A,180780.545099999755621,531238.796300001442432
157826,50,7,67,B,178780.545099999755621,531238.796300001442432
157826,50,8,68,A,180780.545099999755621,531420.614500001072884
157826,50,8,68,B,178780.545099999755621,531420.614500001072884
157826,50,9,69,A,180780.545099999755621,531602.432700000703335
157826,50,9,69,B,178780.545099999755621,531602.432700000703335
157826,50,10,70,A,180780.545099999755621,531784.250799998641014
157826,50,10,70,B,178780.545099999755621,531784.250799998641014
157826,50,11,71,A,180780.545099999755621,531966.068999998271465
157826,50,11,71,B,178780.545099999755621,531966.068999998271465
157826,50,12,72,A,180780.545099999755621,532147.887199997901917
157826,50,12,72,B,178780.545099999755621,532147.887199997901917
78780,51,1,73,A,147780.545099999755621,504747.887199997901917
78780,51,1,73,B,145780.545099999755621,504747.887199997901917
78780,51,2,74,A,147780.545099999755621,504929.705399997532368
78780,51,2,74,B,145780.545099999755621,504929.705399997532368
78780,51,3,75,A,147780.545099999755621,505111.523599997162819
78780,51,3,75,B,145780.545099999755621,505111.523599997162819
78780,51,4,76,A,147780.545099999755621,505293.341700002551079
78780,51,4,76,B,145780.545099999755621,505293.341700002551079
78780,51,5,77,A,147780.545099999755621,505475.159900002181530
78780,51,5,77,B,145780.545099999755621,505475.159900002181530
78780,51,6,78,A,147780.545099999755621,505656.978100001811981
78780,51,6,78,B,145780.545099999755621,505656.978100001811981
78780,51,7,79,A,147780.545099999755621,505838.796300001442432
78780,51,7,79,B,145780.545099999755621,505838.796300001442432
78780,51,8,80,A,147780.545099999755621,506020.614500001072884
78780,51,8,80,B,145780.545099999755621,506020.614500001072884
78780,51,9,81,A,147780.545099999755621,506202.432700000703335
78780,51,9,81,B,145780.545099999755621,506202.432700000703335
78780,51,10,82,A,147780.545099999755621,506384.250799998641014
78780,51,10,82,B,145780.545099999755621,506384.250799998641014
78780,51,11,83,A,147780.545099999755621,506566.068999998271465
78780,51,11,83,B,145780.545099999755621,506566.068999998271465
78780,51,12,84,A,147780.545099999755621,506747.887199997901917
78780,51,12,84,B,145780.545099999755621,506747.887199997901917
47921,52,1,85,A,130380.545099999755621,511547.887199997901917
47921,52,1,85,B,128380.545099999755621,511547.887199997901917
47921,52,2,86,A,130380.545099999755621,511729.705399997532368
47921,52,2,86,B,128380.545099999755621,511729.705399997532368
47921,52,3,87,A,130380.545099999755621,511911.523599997162819
47921,52,3,87,B,128380.545099999755621,511911.523599997162819
47921,52,4,88,A,130380.545099999755621,512093.341700002551079
47921,52,4,88,B,128380.545099999755621,512093.341700002551079
47921,52,5,89,A,130380.545099999755621,512275.159900002181530
47921,52,5,89,B,128380.545099999755621,512275.159900002181530
47921,52,6,90,A,130380.545099999755621,512456.978100001811981
47921,52,6,90,B,128380.545099999755621,512456.978100001811981
47921,52,7,91,A,130380.545099999755621,512638.796300001442432
47921,52,7,91,B,128380.545099999755621,512638.796300001442432
47921,52,8,92,A,130380.545099999755621,512820.614500001072884
47921,52,8,92,B,128380.545099999755621,512820.614500001072884
47921,52,9,93,A,130380.545099999755621,513002.432700000703335
47921,52,9,93,B,128380.545099999755621,513002.432700000703335
47921,52,10,94,A,130380.545099999755621,513184.250799998641014
47921,52,10,94,B,128380.545099999755621,513184.250799998641014
47921,52,11,95,A,130380.545099999755621,513366.068999998271465
47921,52,11,95,B,128380.545099999755621,513366.068999998271465
47921,52,12,96,A,130380.545099999755621,513547.887199997901917
47921,52,12,96,B,128380.545099999755621,513547.887199997901917
97540,49,1,97,A,154580.545099999755621,535747.887199997901917
97540,49,1,97,B,152580.545099999755621,535747.887199997901917
